2026-04-14 12:23:48.204 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0559 | Threshold: 0.0315
2026-04-14 12:23:48.295 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0569 | Threshold: 0.0314
2026-04-14 12:23:48.386 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0569 | Threshold: 0.0314
2026-04-14 12:23:48.477 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0563 | Threshold: 0.0314
2026-04-14 12:23:48.570 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0542 | Threshold: 0.0314
2026-04-14 12:23:48.661 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0532 | Threshold: 0.0314
2026-04-14 12:23:48.767 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0530 | Threshold: 0.0314
2026-04-14 12:23:48.858 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0526 | Threshold: 0.0314
2026-04-14 12:23:48.949 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0511 | Threshold: 0.0315
2026-04-14 12:23:49.040 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0506 | Threshold: 0.0315
2026-04-14 12:23:49.132 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0498 | Threshold: 0.0315
2026-04-14 12:23:49.223 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0491 | Threshold: 0.0315
2026-04-14 12:23:49.314 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0482 | Threshold: 0.0315
2026-04-14 12:23:49.404 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0478 | Threshold: 0.0315
2026-04-14 12:23:49.498 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0469 | Threshold: 0.0315
2026-04-14 12:23:49.582 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0456 | Threshold: 0.0316
2026-04-14 12:23:49.674 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0446 | Threshold: 0.0316
